pH,Azot,Fosfor,Potasyum,OrganikMadde,Tuzluluk,ToprakTuru,UrunTipi
7.4,69.3,35.0,198.7,2.31,0.12,202,4011
7.54,74.5,25.2,202.8,2.79,0.44,202,2009
7.34,50.5,48.6,267.6,2.58,0.21,301,2009
6.91,40.6,25.9,174.8,2.27,1.0,301,1004
7.97,28.5,21.7,197.2,1.53,0.42,402,7014
7.21,34.8,22.1,194.1,1.58,0.93,202,8001
6.57,66.0,56.4,346.5,3.62,0.41,102,3012
7.68,32.5,23.2,220.4,1.45,0.37,204,1004
7.39,28.5,26.1,191.7,1.18,0.29,202,8004
6.83,73.5,42.3,263.6,2.94,0.32,201,3014
6.72,60.1,21.3,213.4,3.82,0.17,201,5002
7.82,30.8,20.7,127.2,1.8,0.46,101,7003
7.23,32.3,17.7,194.9,0.97,0.47,402,7005
7.8,54.0,26.2,230.6,1.41,0.55,204,1002
6.8,89.0,46.2,371.6,4.45,0.21,204,3015
7.01,64.7,43.6,286.5,2.46,0.53,202,2009
7.4,73.1,37.3,223.4,3.08,0.37,202,2009
7.11,81.4,64.0,374.9,4.21,0.22,201,3014
5.69,64.6,44.8,196.8,3.04,0.36,202,4005
7.1,85.6,50.0,351.8,3.8,0.38,204,3001
6.19,109.1,60.2,360.5,3.0,0.12,102,3002
6.9,45.5,23.3,296.3,3.43,0.11,203,4006
6.73,29.7,20.0,203.9,1.99,0.89,202,1001
7.02,40.6,22.9,185.5,2.08,0.36,202,4010
7.73,51.6,20.2,161.2,2.23,0.75,202,1010
6.77,82.9,51.4,371.8,3.27,0.48,204,3012
7.16,24.6,23.6,147.2,1.11,0.6,202,8001
7.74,29.4,24.6,130.2,1.1,0.66,402,7007
6.5,51.7,20.2,272.4,2.35,0.2,202,6001
6.93,45.2,30.0,223.3,2.07,0.38,301,1012
6.74,44.0,22.1,264.1,2.15,0.35,201,5001
7.01,55.1,22.1,273.3,3.12,0.23,201,4004
6.9,89.2,63.9,292.5,3.07,0.45,204,3016
8.19,21.3,23.9,126.0,1.0,0.37,402,7009
7.51,17.7,16.7,133.6,1.58,0.51,101,7006
7.1,21.8,12.7,126.1,1.93,0.53,202,8004
6.48,51.4,39.4,267.4,3.54,0.24,202,6004
7.8,41.7,30.4,235.6,2.13,0.52,301,1005
7.03,27.5,19.5,186.5,1.17,0.85,101,7006
6.81,50.5,31.8,231.4,2.9,0.37,202,6005
6.9,71.9,31.5,281.1,3.54,0.12,202,4010
6.67,56.0,37.4,201.6,3.39,0.22,203,4014
6.91,54.8,36.5,224.8,2.55,0.5,306,2010
6.78,35.2,25.0,134.8,1.05,0.5,202,8001
7.39,50.3,30.0,162.4,2.15,0.62,204,1007
7.21,69.0,33.9,277.9,2.72,0.55,301,2005
6.21,79.5,35.1,208.5,2.2,0.15,203,5002
6.49,109.1,38.4,295.7,4.44,0.45,204,3008
6.34,98.5,40.6,285.3,3.35,0.3,201,3003
6.57,35.1,17.7,165.1,2.29,0.59,301,1003
7.2,69.8,30.2,292.0,3.98,0.16,203,4008
6.99,69.3,42.1,328.7,4.32,0.23,204,3007
7.33,73.1,33.9,247.0,2.8,0.24,202,2011
6.64,104.7,58.7,261.2,3.12,0.2,102,3010
7.19,45.1,29.9,275.7,2.3,0.17,202,4006
7.45,20.7,18.5,143.0,1.54,0.93,101,7008
6.85,67.6,52.3,324.9,3.35,0.39,201,3014
7.81,27.6,22.4,164.4,1.63,0.56,402,6002
6.95,47.1,24.0,178.0,1.7,0.43,202,1007
8.27,26.5,21.1,188.9,1.44,0.35,402,7005
6.26,73.5,34.7,215.3,3.43,0.26,201,4004
8.17,28.2,26.0,198.3,1.81,0.89,101,7008
8.15,28.9,24.4,184.4,1.99,0.68,101,7001
7.46,50.4,17.5,230.1,1.91,0.93,202,1007
7.07,33.8,34.0,221.1,1.35,1.08,204,1009
7.8,89.4,38.1,220.6,2.41,0.21,301,2010
7.08,103.7,52.9,324.1,3.83,0.17,201,3004
6.71,49.8,29.7,214.6,2.71,0.32,203,4012
6.99,83.7,46.2,314.6,2.23,0.57,301,2008
6.6,25.1,34.4,160.4,1.31,0.58,204,1003
7.33,47.8,29.5,211.0,2.28,1.11,204,1008
6.54,45.9,20.9,234.0,2.27,1.15,301,1007
5.65,67.9,28.5,267.0,2.13,0.19,202,4004
7.48,40.0,24.6,226.1,3.87,0.12,201,4001
6.4,86.1,57.0,240.5,3.43,0.22,204,3002
6.28,45.0,43.9,275.8,2.52,0.28,203,4008
7.81,59.2,45.8,214.4,2.07,0.43,306,2008
6.02,60.6,32.3,299.6,3.79,0.24,202,5004
7.07,107.8,60.9,353.3,3.81,0.32,102,3006
6.87,43.0,41.3,239.4,2.96,0.28,201,4007
7.23,68.3,40.9,263.7,3.36,0.29,201,5002
6.19,100.9,60.0,311.0,2.51,0.21,204,3016
7.37,15.5,18.6,187.2,1.27,0.34,402,7004
7.12,26.7,16.5,228.2,2.29,0.91,204,1010
6.19,83.4,63.3,254.3,4.21,0.31,201,3003
6.36,77.7,30.5,256.6,2.8,0.18,203,4015
7.84,68.9,49.2,222.3,3.3,0.67,202,2006
7.76,69.3,27.9,215.0,3.03,0.46,301,2008
6.51,16.8,17.8,158.4,1.52,0.43,202,8001
5.78,60.0,35.5,264.3,3.12,0.1,202,4005
6.89,72.9,21.0,260.4,3.9,0.14,203,4005
6.78,66.8,31.0,265.4,2.92,0.29,202,6001
7.38,74.6,33.2,256.4,3.12,0.72,306,2001
6.61,37.1,19.4,193.5,1.42,1.06,202,1003
6.65,85.7,52.6,244.1,3.29,0.34,102,3001
7.0,71.8,58.3,296.7,3.7,0.35,204,3017
7.42,64.4,39.8,219.6,2.59,0.78,301,2002
6.6,30.1,25.4,187.0,2.11,0.69,204,1010
6.39,74.6,34.0,244.8,2.07,0.4,202,4003
5.58,45.9,44.7,295.8,2.01,0.39,201,4010
6.91,48.1,36.8,296.4,2.19,0.3,201,4011
7.62,48.1,17.3,223.6,2.21,0.84,204,1008
7.19,97.6,37.7,280.4,2.72,0.36,204,3018
7.49,22.4,23.0,146.3,1.56,0.69,402,7009
7.87,30.5,19.3,150.4,1.84,0.62,101,7006
7.03,72.5,38.0,294.7,2.04,0.16,203,4002
6.92,69.4,31.4,234.2,2.46,0.68,202,2007
7.39,30.4,25.5,216.7,1.32,0.81,301,1007
7.78,85.4,30.7,225.4,2.92,0.45,306,2010
6.8,64.8,53.7,303.2,3.67,0.17,102,3016
6.8,36.7,26.9,199.7,2.29,0.42,202,1011
7.31,70.9,26.6,257.4,3.19,0.22,202,4001
7.13,73.7,42.0,227.7,2.69,0.31,301,2009
7.15,91.7,57.6,263.9,3.32,0.27,102,3013
7.46,48.1,19.9,213.7,1.3,0.53,204,1005
6.38,49.2,27.9,235.8,3.16,0.25,201,6005
5.73,72.7,29.5,285.4,3.74,0.34,203,4008
7.57,29.0,32.2,233.8,1.74,0.85,301,1010
8.25,28.7,29.3,154.6,1.17,0.6,101,7013
7.51,38.8,16.2,239.6,1.26,0.93,202,1005
7.32,31.9,19.7,177.7,1.39,0.89,301,1004
7.01,65.5,49.1,229.8,2.2,0.45,301,2002
7.1,78.4,32.2,193.2,3.1,0.24,203,4012
6.55,99.3,61.8,373.7,4.07,0.23,201,3006
6.46,82.5,41.8,364.5,3.4,0.45,201,3011
6.13,61.8,50.3,294.3,3.42,0.5,102,3001
6.53,27.5,34.4,183.6,2.05,0.86,301,1010
7.54,33.8,34.6,208.2,1.84,0.97,301,1010
7.13,87.1,41.9,259.5,2.02,0.8,301,2010
7.47,41.7,18.6,164.3,1.55,0.98,202,1008
6.97,61.7,34.8,241.0,2.6,0.27,202,4003
7.65,33.3,18.9,230.4,1.92,0.58,202,1005
5.57,69.8,25.1,295.0,2.74,0.2,203,5001
6.47,80.6,55.9,240.5,3.74,0.24,201,3003
6.57,39.6,27.0,208.2,1.23,0.59,204,1004
6.25,44.9,38.4,208.3,2.74,0.12,203,4007
7.29,83.6,34.6,268.6,2.88,0.31,306,2003
7.38,50.4,30.7,284.7,3.68,0.16,202,4010
6.88,98.3,39.8,325.4,2.77,0.4,201,3001
6.85,47.8,24.0,222.1,1.27,0.74,204,1010
8.25,29.0,28.7,124.2,1.3,0.41,402,7009
6.95,28.4,18.0,178.0,1.48,1.07,204,1012
8.1,25.7,12.8,173.1,1.06,0.28,101,7004
6.79,44.9,26.6,260.5,3.03,0.16,202,6003
7.0,62.3,33.8,191.3,2.69,0.18,201,5001
7.12,23.9,25.1,142.1,1.17,0.71,402,7008
7.67,30.1,25.1,207.8,1.24,0.63,204,1003
7.04,54.5,28.4,210.8,1.38,1.09,204,1001
7.77,35.1,20.9,233.5,1.32,0.98,202,1005
6.94,53.5,43.0,250.4,3.36,0.64,301,2009
6.04,97.0,38.2,284.1,2.51,0.37,204,3012
6.26,78.0,37.1,346.8,3.32,0.4,201,3002
6.42,74.6,33.7,225.6,3.95,0.13,202,4005
6.9,73.6,44.5,254.6,3.12,0.29,202,4001
6.57,48.9,26.0,259.5,2.28,0.37,201,6003
6.56,73.5,27.1,231.5,2.54,0.34,202,4014
8.13,16.6,29.1,122.0,1.63,0.27,101,7002
7.75,75.6,41.9,215.8,2.35,0.67,202,2008
6.0,62.0,53.1,367.0,2.98,0.29,201,3002
5.52,48.8,20.9,193.0,2.68,0.34,202,4008
7.21,70.3,46.9,259.2,3.05,0.8,306,2009
6.12,73.0,43.9,278.5,2.0,0.29,203,5004
6.44,66.1,47.6,345.2,2.64,0.13,102,3013
7.33,64.5,41.8,266.9,2.24,0.37,201,4010
6.56,42.0,27.7,268.1,2.85,0.12,202,6001
8.11,37.9,18.6,145.5,1.5,0.5,402,7001
6.35,51.4,20.1,230.9,3.47,0.28,201,6004
6.11,40.8,30.1,277.1,2.81,0.11,202,6004
7.39,55.2,45.9,244.4,2.56,0.48,301,2003
7.45,56.2,38.8,265.0,3.14,0.7,202,2010
7.23,35.4,26.6,171.1,1.69,0.86,204,1011
6.55,39.3,25.9,178.2,2.26,1.12,204,1008
7.76,53.5,25.3,167.5,2.03,0.74,204,1012
7.29,58.2,31.1,252.3,3.18,0.34,203,4010
6.31,61.5,64.1,270.9,3.97,0.41,204,3015
6.33,40.3,40.0,254.1,3.53,0.19,202,6005
7.5,44.8,30.3,227.7,1.87,0.38,202,1008
6.01,65.0,61.1,335.4,2.73,0.44,204,3011
6.88,29.6,20.3,161.8,1.84,1.06,202,1008
6.45,60.5,24.8,257.1,3.52,0.34,201,6001
6.34,66.7,53.9,247.6,4.0,0.23,102,3008
6.82,47.2,21.3,168.2,1.6,0.54,204,1006
5.68,67.5,32.3,226.5,3.27,0.31,201,4010
7.14,34.5,22.9,123.9,1.23,0.97,101,7007
7.3,82.9,46.3,225.4,2.99,0.48,301,2001
7.17,62.6,55.5,305.5,2.08,0.13,102,3005
7.09,101.9,56.3,372.8,2.56,0.39,204,3014
6.31,43.9,37.1,246.0,2.32,0.21,201,6004
6.54,53.9,29.3,180.2,2.6,0.29,203,4014
6.11,42.6,25.7,209.6,2.97,0.32,203,5002
6.09,78.3,41.8,267.4,2.78,0.35,204,3009
7.34,23.6,28.3,143.2,1.36,0.91,402,7009
6.64,72.1,50.0,335.1,2.65,0.21,204,3015
6.77,26.5,31.9,238.5,2.07,1.07,301,1008
7.51,52.9,40.6,317.7,2.29,0.68,202,2006
6.46,63.1,30.0,201.0,2.21,0.21,202,6004
6.51,40.9,29.6,253.0,2.39,0.19,201,6005
7.51,33.9,28.4,196.1,1.49,0.49,101,7001
6.92,70.2,30.5,204.7,2.05,0.31,301,2008
6.97,67.2,47.6,301.5,2.6,0.66,202,2007
6.76,78.2,43.9,363.1,1.96,0.14,102,3005
6.06,57.0,20.9,195.3,3.53,0.1,202,4012
5.6,47.6,27.8,267.8,3.28,0.22,202,4010
7.11,79.4,38.9,227.2,3.18,0.3,203,4006
7.52,61.9,42.9,291.1,2.15,0.51,306,2005
6.95,84.0,33.6,203.7,2.08,0.29,301,2011
6.31,62.0,27.7,202.0,3.54,0.1,201,6004
7.21,28.4,20.8,154.4,1.17,0.59,202,8003
7.81,22.9,26.3,160.1,0.89,0.45,402,7002
6.11,54.1,35.5,220.1,3.47,0.22,201,4012
6.77,93.6,54.0,267.9,3.34,0.4,201,3010
5.73,56.1,38.4,264.5,2.85,0.2,203,5001
6.69,46.9,43.1,188.2,2.86,0.31,203,4002
6.67,61.0,26.2,180.2,2.35,0.14,202,4007
6.06,91.4,46.6,371.1,3.58,0.48,204,3002
6.52,64.6,57.5,368.0,3.37,0.2,201,3004
6.78,100.9,36.5,367.6,2.56,0.24,204,3017
7.77,24.3,16.7,190.8,1.26,0.59,402,7009
7.42,29.6,20.8,141.5,1.24,0.92,202,8001
6.64,67.2,58.5,298.7,3.5,0.41,204,3013
7.37,32.8,10.2,152.7,1.91,0.29,402,7013
7.01,38.1,18.9,164.3,1.11,0.79,101,7003
7.38,75.1,22.6,227.1,3.11,0.25,201,5001
6.49,96.1,46.5,308.5,3.36,0.4,201,3014
7.26,44.9,35.9,249.9,2.24,0.16,203,4001
7.04,37.9,25.8,215.7,1.97,0.45,301,1009
6.17,94.6,41.2,294.9,4.29,0.18,201,3016
6.86,104.1,56.9,337.6,4.01,0.29,204,3009
6.4,51.6,36.1,272.1,2.53,0.12,202,6005
5.48,58.0,32.8,298.7,2.46,0.38,201,4016
6.26,93.1,49.5,240.7,4.11,0.41,102,3007
6.51,20.2,24.3,150.9,1.59,0.48,202,8001
6.16,51.6,31.8,214.8,3.16,0.36,201,6001
6.27,72.9,36.5,275.5,2.54,0.31,203,4009
6.71,73.2,54.9,354.1,4.06,0.4,204,3004
6.84,85.2,31.1,266.9,2.06,0.6,301,2010
6.82,42.3,16.3,167.6,2.3,0.59,204,1008
7.47,34.6,21.3,145.0,1.59,0.39,101,7009
7.31,50.9,26.7,206.5,2.29,0.98,204,1003
6.63,70.6,64.9,377.4,2.15,0.42,204,3005
7.22,27.5,23.8,175.8,1.58,0.42,402,7009
5.84,40.8,39.5,253.2,3.4,0.35,201,4005
6.67,63.7,28.9,186.2,2.06,0.23,201,4013
6.88,74.3,59.1,379.6,2.56,0.46,102,3004
7.56,50.6,33.8,166.8,1.62,0.36,301,1012
6.14,60.4,39.7,269.0,3.76,0.19,204,3017
6.84,36.6,13.1,126.6,1.38,0.44,202,8002
6.48,43.3,31.5,216.8,3.64,0.12,201,5003
6.68,98.3,63.2,242.2,3.55,0.29,201,3016
7.54,27.8,28.1,191.2,1.78,0.61,402,7002
