pH,OrganikMadde,Tuzluluk,ToprakTuru,UrunTipi,Yagis_Miktar_mm,Sicaklik_Ort,SulamaYapildiMi,Gubreleme_TamMi,Gecmis_Verim_kg
7.4,2.31,0.12,202,4011,740.4,14.8,0,1,3160
7.54,2.79,0.44,202,2009,536.8,20.3,1,1,5395
7.34,2.58,0.21,301,2009,605.3,17.5,1,1,5160
6.91,2.27,1.0,301,1004,398.8,13.7,1,1,721
7.97,1.53,0.42,402,7014,410.4,10.4,1,1,192
7.21,1.58,0.93,202,8001,420.0,12.7,0,1,958
6.57,3.62,0.41,102,3012,260.1,23.7,1,1,2091
7.68,1.45,0.37,204,1004,473.7,13.5,1,1,649
7.39,1.18,0.29,202,8004,295.6,12.6,1,1,961
6.83,2.94,0.32,201,3014,266.2,20.0,1,1,2170
6.72,3.82,0.17,201,5002,712.4,20.2,1,1,3747
7.82,1.8,0.46,101,7003,389.2,15.2,0,1,183
7.23,0.97,0.47,402,7005,291.8,13.2,0,1,177
7.8,1.41,0.55,204,1002,481.5,13.6,1,1,632
6.8,4.45,0.21,204,3015,387.2,23.5,1,1,2144
7.01,2.46,0.53,202,2009,510.3,16.1,1,1,5272
7.4,3.08,0.37,202,2009,630.6,14.3,1,1,5628
7.11,4.21,0.22,201,3014,297.7,20.1,1,1,2329
5.69,3.04,0.36,202,4005,839.5,12.5,1,1,3275
7.1,3.8,0.38,204,3001,472.5,20.7,1,1,5295
6.19,3.0,0.12,102,3002,340.0,19.0,1,1,1947
6.9,3.43,0.11,203,4006,673.4,15.0,0,1,3625
6.73,1.99,0.89,202,1001,459.6,12.1,1,1,676
7.02,2.08,0.36,202,4010,689.7,12.4,1,1,3156
7.73,2.23,0.75,202,1010,471.0,12.5,1,1,706
6.77,3.27,0.48,204,3012,301.7,20.2,1,1,2078
7.16,1.11,0.6,202,8001,388.6,12.1,1,0,829
7.74,1.1,0.66,402,7007,436.2,15.2,0,1,185
6.5,2.35,0.2,202,6001,860.0,14.6,1,1,327
6.93,2.07,0.38,301,1012,543.6,14.0,0,1,327
6.74,2.15,0.35,201,5001,558.6,20.6,0,1,3401
7.01,3.12,0.23,201,4004,632.1,13.7,0,1,3597
6.9,3.07,0.45,204,3016,359.1,24.4,1,1,1896
8.19,1.0,0.37,402,7009,340.9,13.8,0,1,190
7.51,1.58,0.51,101,7006,366.7,10.5,1,1,178
7.1,1.93,0.53,202,8004,366.2,15.5,0,1,988
6.48,3.54,0.24,202,6004,775.2,13.4,0,1,367
7.8,2.13,0.52,301,1005,351.3,11.0,0,1,297
7.03,1.17,0.85,101,7006,362.2,15.3,0,1,176
6.81,2.9,0.37,202,6005,768.2,11.1,0,1,341
6.9,3.54,0.12,202,4010,892.0,14.0,1,1,3368
6.67,3.39,0.22,203,4014,706.1,15.9,1,1,3423
6.91,2.55,0.5,306,2010,496.5,14.7,1,1,5124
6.78,1.05,0.5,202,8001,346.9,13.7,0,1,914
7.39,2.15,0.62,204,1007,360.6,11.1,0,0,262
7.21,2.72,0.55,301,2005,576.1,20.0,1,1,5357
6.21,2.2,0.15,203,5002,695.1,22.3,0,1,3073
6.49,4.44,0.45,204,3008,493.8,21.9,1,1,2201
6.34,3.35,0.3,201,3003,382.5,23.7,1,1,2029
6.57,2.29,0.59,301,1003,322.0,10.6,0,1,331
7.2,3.98,0.16,203,4008,526.6,15.0,1,1,3479
6.99,4.32,0.23,204,3007,348.1,24.5,1,1,5726
7.33,2.8,0.24,202,2011,562.9,17.5,1,1,5685
