pH,Azot_ppm,Fosfor_ppm,Potasyum_ppm,OrganikMadde,Tuzluluk,GecmisVerim_kg,ToprakTuru,UrunTipi,OnerilenAzot,OnerilenFosfor,OnerilenPotasyum
7.4,69.3,35.0,198.7,2.31,0.12,3160.7,Tinli,Nar,17.0,10.6,0.0
5.98,67.3,35.2,280.0,2.35,0.22,3416.7,KumluTinli,YemSalgamı,16.7,11.0,0.0
7.7,44.5,33.3,228.0,1.69,0.39,649.3,MilliTinli,Yulaf,13.0,7.0,0.0
5.71,58.3,25.5,230.0,3.77,0.2,3759.7,KilliTinli,Cay,18.0,12.4,0.0
7.62,71.2,36.2,266.3,2.89,0.25,5651.7,Tinli,YerFistigi,9.4,6.8,0.0
7.8,54.0,26.2,230.6,1.41,0.55,632.7,MilliTinli,Arpa,11.6,7.8,0.0
7.28,65.2,39.9,240.3,3.15,0.25,3429.3,Tinli,Uzum,16.8,10.3,0.0
7.82,55.5,42.7,266.3,2.44,0.45,5348.7,Killi,Soya,11.6,5.7,0.0
6.87,108.8,50.5,285.2,4.09,0.21,2156.7,MilliTinli,Turp,12.2,8.5,0.0
7.11,53.9,31.6,258.0,2.1,0.38,3396.8,KumluTinli,Kayisi,18.6,11.4,7.4
6.89,53.9,43.4,184.7,2.84,0.39,3382.3,KumluTinli,Lavanta,18.2,9.3,0.0
7.08,71.6,22.3,239.3,2.12,0.26,3397.8,Tinli,Zeytin,16.6,12.9,0.0
6.98,70.7,40.6,269.3,3.36,0.17,3735.1,Tinli,Portakal,16.9,9.6,0.0
5.96,50.6,29.0,211.2,2.91,0.11,3644.8,Tinli,Portakal,19.3,11.8,0.0
7.22,48.1,33.9,228.0,1.47,0.71,289.6,Killi,Misir,12.4,6.6,0.0
6.54,105.5,43.9,313.3,3.9,0.42,2127.4,MilliTinli,Sarımsak,12.3,9.7,0.0
6.23,60.1,37.3,184.7,3.6,0.29,3190.5,KilliTinli,Visne,18.1,10.2,0.0
7.21,69.0,33.9,277.9,2.72,0.55,5357.2,Killi,Soya,9.6,6.8,0.0
7.14,68.7,33.4,237.2,3.68,0.16,3610.7,KumluTinli,Uzum,16.4,11.1,7.7
6.26,77.1,38.0,185.8,3.56,0.35,3431.3,Tinli,MeyanKoku,15.9,10.3,0.0
6.18,75.6,42.5,344.2,2.57,0.33,5258.4,MilliTinli,Kavun,16.0,9.6,0.0
7.36,62.6,37.4,290.7,3.41,0.15,3330.8,KilliTinli,Armut,17.8,10.4,0.0
6.34,76.6,29.1,249.7,3.26,0.1,3347.2,Tinli,Nar,16.1,11.7,0.0
6.79,56.3,20.6,198.7,3.43,0.3,3520.9,Tinli,SiloMisiri,18.3,12.8,0.0
