pH,EC,Sertlik,Nitrat,Nitrit,Sodyum,Klor,SulamayaUygun
6.9,0.57,15.2,10.8,0.026,14.9,28.1,True
9.2,2.95,52.1,70.8,1.942,275.1,346.9,False
7.49,0.59,19.3,14.9,0.023,25.0,16.1,True
7.16,0.49,12.7,7.4,0.017,43.0,29.5,True
7.16,0.69,20.3,11.5,0.013,34.9,51.4,True
8.31,4.36,64.2,61.4,0.958,217.7,284.2,False
7.65,0.72,21.4,11.6,0.024,30.0,59.1,True
8.81,3.53,48.2,76.9,0.992,164.8,396.2,False
6.7,0.38,16.6,19.3,0.028,19.8,58.0,True
9.25,3.52,46.6,75.7,1.187,227.3,387.7,False
5.23,3.93,57.6,54.1,1.854,220.8,363.6,False
5.05,4.09,56.2,53.3,0.627,297.9,268.6,False
7.66,0.57,21.9,6.5,0.024,43.9,38.5,True
7.3,0.49,21.2,22.3,0.007,10.9,31.9,True
7.15,0.53,20.0,11.2,0.034,43.9,19.0,True
7.32,0.37,10.9,7.6,0.009,15.3,21.2,True
9.69,3.62,46.1,68.5,1.621,145.9,243.0,False
6.96,0.89,17.3,9.7,0.009,15.4,26.1,True
7.13,0.57,10.6,11.7,0.01,12.2,59.5,True
5.01,3.84,62.0,75.0,1.31,210.2,311.3,False
7.15,0.58,15.8,13.2,0.032,10.4,41.9,True
5.59,2.96,44.3,59.1,1.412,200.7,346.3,False
6.9,0.48,15.1,21.0,0.017,26.4,43.1,True
5.22,2.76,56.7,84.2,1.745,203.5,330.3,False
7.2,0.64,13.1,7.8,0.034,44.5,38.7,True
7.01,0.4,14.3,19.4,0.015,29.8,36.4,True
7.75,0.73,17.7,20.2,0.03,32.3,59.1,True
7.24,0.76,16.5,18.2,0.031,28.2,34.2,True
7.74,0.76,13.1,16.8,0.039,40.9,42.0,True
5.09,2.5,61.7,88.2,1.793,269.5,327.6,False
7.65,0.87,15.6,22.6,0.005,38.7,25.3,True
9.31,3.92,38.9,80.3,0.537,143.5,258.0,False
7.63,0.7,16.8,14.4,0.024,15.6,24.2,True
5.74,3.31,38.1,59.7,1.98,162.8,294.8,False
9.53,3.31,36.2,56.6,1.158,256.0,314.6,False
7.21,0.56,17.1,5.6,0.019,31.2,41.9,True
7.28,0.48,12.8,9.7,0.036,25.5,29.9,True
7.78,0.88,10.1,24.0,0.027,40.4,35.5,True
7.35,0.27,17.9,25.0,0.007,44.2,33.3,True
7.74,0.79,21.0,21.3,0.009,15.2,38.7,True
6.66,0.8,19.6,8.7,0.015,37.8,23.3,True
8.44,2.92,41.9,58.2,1.457,181.1,322.7,False
6.92,0.43,18.0,24.9,0.028,29.5,47.9,True
6.65,0.36,14.1,12.6,0.017,18.4,37.9,True
6.68,0.83,20.0,11.4,0.038,38.9,45.0,True
7.4,0.63,17.6,9.6,0.013,17.7,22.8,True
9.03,4.19,42.3,76.1,1.716,238.3,370.5,False
8.83,4.48,64.1,87.7,1.676,196.8,276.5,False
7.22,0.47,12.0,10.5,0.037,33.7,37.3,True
6.64,0.31,11.1,16.5,0.036,25.2,22.2,True
7.51,0.35,11.7,18.3,0.005,16.2,16.3,True
7.54,0.74,18.8,11.0,0.011,32.3,37.3,True
8.39,3.6,39.1,80.1,1.485,293.1,204.5,False
9.28,2.64,45.1,62.3,1.921,294.8,228.4,False
6.94,0.81,16.5,20.2,0.031,10.6,20.7,True
7.53,0.42,20.3,23.1,0.015,44.4,21.3,True
9.37,4.47,62.0,76.1,0.971,180.7,362.0,False
6.9,0.35,10.4,11.1,0.028,42.8,54.2,True
9.61,2.7,38.6,52.7,0.895,147.4,309.1,False
7.17,0.5,13.8,13.7,0.032,31.1,55.2,True
7.17,0.2,10.1,9.4,0.006,13.8,30.2,True
6.83,0.24,17.2,18.7,0.009,23.4,35.5,True
7.23,0.44,18.8,18.0,0.035,34.2,34.3,True
7.38,0.62,14.4,9.4,0.04,25.9,46.0,True
6.72,0.37,20.1,12.1,0.034,34.8,23.0,True
6.58,0.68,15.6,5.7,0.039,43.2,38.1,True
7.45,0.73,21.2,5.6,0.036,28.5,43.5,True
5.73,2.43,61.1,77.3,0.669,274.7,240.9,False
6.88,0.59,11.4,23.3,0.03,24.1,22.1,True
7.0,0.64,18.4,5.1,0.011,35.0,45.0,True
6.68,0.66,18.9,11.3,0.028,23.8,47.1,True
4.66,3.08,46.0,57.3,1.153,193.1,261.8,False
7.44,0.63,20.8,21.9,0.016,19.7,59.2,True
6.56,0.79,21.8,20.9,0.035,18.5,58.2,True
8.87,2.73,54.0,58.9,0.983,275.7,343.1,False
6.55,0.23,12.1,22.3,0.015,43.3,41.2,True
6.7,0.81,16.5,10.6,0.02,11.3,20.8,True
6.69,0.47,15.0,20.1,0.006,19.4,38.3,True
7.07,0.58,13.7,14.7,0.023,23.6,55.8,True
7.58,0.83,10.1,18.5,0.007,29.2,27.9,True
7.77,0.59,12.3,16.6,0.012,28.2,18.3,True
5.46,3.98,53.8,64.9,0.576,240.4,271.0,False
6.78,0.39,13.0,6.3,0.021,35.6,42.3,True
7.72,0.24,19.9,10.8,0.021,10.8,28.5,True
8.86,4.36,61.3,54.1,1.089,228.5,295.7,False
6.82,0.39,14.0,20.0,0.025,44.5,33.7,True
6.51,0.71,16.4,21.7,0.034,39.5,36.8,True
7.1,0.71,17.9,19.2,0.005,17.6,44.8,True
6.85,0.34,13.8,9.8,0.013,24.9,55.9,True
6.84,0.22,20.6,9.9,0.025,11.4,45.0,True
9.44,2.51,50.3,50.2,1.908,206.4,274.5,False
7.22,0.72,19.7,13.3,0.012,11.5,41.1,True
9.41,4.23,38.8,58.0,0.824,250.6,316.6,False
6.58,0.35,19.7,7.9,0.017,40.3,22.0,True
7.14,0.72,15.9,14.7,0.034,22.6,53.7,True
7.54,0.46,11.0,16.1,0.035,37.9,22.9,True
8.9,3.29,55.2,80.5,0.568,243.5,237.6,False
6.52,0.78,16.3,20.5,0.013,22.1,16.4,True
6.71,0.37,18.5,10.5,0.017,25.7,56.1,True
4.68,2.58,38.5,71.9,1.854,195.0,343.9,False
5.06,2.47,35.8,70.9,0.827,298.3,310.6,False
7.35,0.63,14.0,23.6,0.035,17.8,25.8,True
6.91,0.79,10.6,14.3,0.018,21.1,27.9,True
8.5,4.0,43.0,89.6,0.539,236.6,328.5,False
6.57,0.23,16.9,12.9,0.006,30.4,15.5,True
7.01,0.57,11.9,16.4,0.033,36.6,21.9,True
7.78,0.88,19.5,18.2,0.025,40.3,28.0,True
7.39,0.6,15.1,10.5,0.032,17.9,46.2,True
6.59,0.26,17.2,11.8,0.037,24.2,21.4,True
7.51,0.28,10.0,19.2,0.017,18.9,15.6,True
6.66,0.6,13.1,21.1,0.02,44.8,19.2,True
9.4,2.37,62.2,89.9,1.551,263.3,260.8,False
7.0,0.66,15.3,18.0,0.007,38.5,57.3,True
7.18,0.42,15.6,15.0,0.012,21.0,50.6,True
7.1,0.73,20.9,21.7,0.012,25.4,24.0,True
9.63,4.13,39.4,70.2,0.593,151.4,310.5,False
7.03,0.54,15.0,5.5,0.017,16.2,19.4,True
6.98,0.57,10.8,8.6,0.039,41.2,44.4,True
5.23,3.91,47.4,57.8,1.27,160.9,282.5,False
6.83,0.43,12.0,8.6,0.033,23.5,34.6,True
6.92,0.24,11.7,5.0,0.037,10.9,24.4,True
7.7,0.77,19.9,20.9,0.016,36.8,21.4,True
6.81,0.86,20.5,10.8,0.032,38.1,59.4,True
7.3,0.41,13.9,6.4,0.017,40.2,25.5,True
7.1,0.38,19.0,15.3,0.016,30.9,59.8,True
7.01,0.76,14.1,13.9,0.029,27.8,53.8,True
7.07,0.88,19.7,19.7,0.024,39.4,30.3,True
9.43,2.57,55.7,56.7,0.965,220.5,357.3,False
7.55,0.25,14.0,11.3,0.027,22.5,21.7,True
6.62,0.84,10.1,14.7,0.009,20.8,56.7,True
7.69,0.59,13.6,13.6,0.016,35.4,50.8,True
9.23,3.23,38.7,58.2,0.501,146.3,395.2,False
7.42,0.57,17.6,8.9,0.012,11.5,29.5,True
6.68,0.71,19.8,10.1,0.032,23.5,37.8,True
4.99,2.47,36.1,52.1,1.751,158.9,199.5,False
7.21,0.37,14.1,22.0,0.025,28.0,19.5,True
7.11,0.3,21.8,9.2,0.01,17.1,49.6,True
5.34,3.13,42.2,75.2,1.461,276.1,345.6,False
9.05,3.27,45.8,71.4,1.576,211.0,387.2,False
4.51,2.61,61.7,68.4,1.565,297.4,200.5,False
7.11,0.43,21.4,21.5,0.03,30.6,51.9,True
4.63,4.16,49.9,74.1,0.841,227.0,335.9,False
7.43,0.46,11.1,14.2,0.019,40.3,26.0,True
6.62,0.67,10.8,16.9,0.031,17.4,52.9,True
5.6,2.62,42.0,75.4,1.989,264.4,237.4,False
6.92,0.38,15.6,7.7,0.037,40.4,46.8,True
7.34,0.42,17.5,9.4,0.021,41.5,21.0,True
6.63,0.24,17.1,21.5,0.035,26.2,50.3,True
7.37,0.43,13.1,17.6,0.006,35.2,38.1,True
6.9,0.73,17.4,6.5,0.023,22.0,29.8,True
6.96,0.78,15.9,23.2,0.037,15.8,15.1,True
6.81,0.32,11.5,12.3,0.013,17.6,17.5,True
7.12,0.81,13.3,5.1,0.011,22.2,29.2,True
8.43,3.12,47.6,70.6,1.563,285.0,218.9,False
7.34,0.39,15.4,11.9,0.011,31.8,54.7,True
7.31,0.45,21.9,14.6,0.022,29.8,56.3,True
7.32,0.7,15.2,11.1,0.039,43.8,28.0,True
6.98,0.74,19.7,13.0,0.038,24.2,49.7,True
5.37,3.96,49.6,56.0,1.472,167.6,373.2,False
6.86,0.42,19.2,21.0,0.018,24.6,17.0,True
7.51,0.32,15.4,9.2,0.029,40.7,28.1,True
7.73,0.88,14.5,23.5,0.024,19.4,46.6,True
7.17,0.54,17.5,23.9,0.025,28.9,17.3,True
7.01,0.37,10.2,12.2,0.008,19.0,19.2,True
7.03,0.77,14.6,5.9,0.011,43.5,18.2,True
9.01,2.56,64.2,83.7,1.251,297.0,210.4,False
6.9,0.75,15.3,14.7,0.032,23.4,34.9,True
6.75,0.52,13.4,9.9,0.028,32.8,52.1,True
7.18,0.7,17.0,24.0,0.007,13.7,22.8,True
6.75,0.29,13.7,22.7,0.032,35.7,50.9,True
6.56,0.27,10.4,15.0,0.026,12.2,47.5,True
7.59,0.31,13.3,6.3,0.03,18.3,32.5,True
7.8,0.22,20.0,12.3,0.034,29.4,55.6,True
7.02,0.67,12.3,21.4,0.009,33.0,30.4,True
7.19,0.62,14.4,21.1,0.023,14.1,20.8,True
7.03,0.67,12.7,17.0,0.029,13.2,37.4,True
7.18,0.81,10.5,10.2,0.036,36.3,15.8,True
5.61,3.82,42.3,68.7,1.387,281.9,376.7,False
6.5,0.51,20.0,16.4,0.04,20.0,27.6,True
4.89,3.78,42.8,60.2,1.997,170.1,221.1,False
4.88,3.38,62.6,86.2,0.735,198.7,320.0,False
6.84,0.5,18.8,11.7,0.017,20.0,36.5,True
6.8,0.76,20.2,14.7,0.02,44.2,24.0,True
6.56,0.6,19.2,7.7,0.013,40.9,15.9,True
7.16,0.7,14.2,11.5,0.022,40.7,16.8,True
6.96,0.72,16.6,21.3,0.039,37.7,42.2,True
9.13,4.29,63.3,70.8,1.516,264.6,217.5,False
6.92,0.79,17.9,10.5,0.039,21.3,59.9,True
7.46,0.81,17.5,18.4,0.009,43.1,21.0,True
4.99,2.43,63.9,76.1,1.184,203.6,258.2,False
5.67,3.37,39.4,74.5,1.349,254.4,386.9,False
4.71,3.21,60.0,87.2,1.443,203.2,243.3,False
9.72,4.14,56.7,53.1,0.659,218.8,223.7,False
7.36,0.37,11.2,16.5,0.024,16.6,17.5,True
6.75,0.71,11.8,22.1,0.023,13.7,46.2,True
6.89,0.64,11.8,14.4,0.023,30.5,38.1,True
7.62,0.2,10.4,23.2,0.032,25.8,48.9,True
7.02,0.55,18.0,5.3,0.036,25.6,30.4,True
4.53,3.32,45.1,72.0,1.623,265.4,258.2,False
7.24,0.55,20.3,15.6,0.014,33.6,39.4,True
7.18,0.25,12.3,21.8,0.03,41.3,20.3,True
6.98,0.3,14.9,7.3,0.025,11.4,38.7,True
8.77,2.84,54.3,77.7,1.806,194.8,351.7,False
9.27,3.8,58.9,63.6,0.51,216.7,193.3,False
7.28,0.31,18.8,11.0,0.021,31.0,22.7,True
7.47,0.51,21.2,17.6,0.015,32.3,27.9,True
7.26,0.64,17.8,6.4,0.027,43.4,39.3,True
7.59,0.56,11.6,16.4,0.019,33.2,54.7,True
7.24,0.78,13.3,6.5,0.03,26.9,55.3,True
7.32,0.27,11.1,19.6,0.016,44.2,16.7,True
8.34,2.28,47.6,85.8,1.974,241.9,223.9,False
8.85,4.09,37.8,77.0,0.585,247.7,367.0,False
7.42,0.52,11.2,19.2,0.006,40.5,21.2,True
9.47,2.44,55.5,76.4,1.926,256.7,200.9,False
7.19,0.4,17.5,7.4,0.028,19.9,15.0,True
7.63,0.29,18.1,16.4,0.022,27.2,47.5,True
6.96,0.73,17.0,18.8,0.025,33.9,15.1,True
7.18,0.43,11.3,13.9,0.014,41.8,19.6,True
7.29,0.69,14.1,7.2,0.007,30.6,38.4,True
6.76,0.33,14.1,13.4,0.023,26.7,27.2,True
6.53,0.21,20.6,5.9,0.031,40.5,19.4,True
7.17,0.32,18.0,22.1,0.014,27.2,58.9,True
7.47,0.46,15.7,17.6,0.037,24.7,50.2,True
8.6,4.4,44.9,88.5,1.852,183.3,358.7,False
9.77,3.18,39.2,50.9,1.804,228.7,317.8,False
7.52,0.58,13.9,7.7,0.036,26.5,54.5,True
5.08,2.82,60.8,52.8,1.516,167.7,262.3,False
7.64,0.49,20.9,24.9,0.009,18.2,57.8,True
7.07,0.26,18.6,9.3,0.012,24.4,25.3,True
7.29,0.44,17.0,11.3,0.008,17.8,23.5,True
5.14,3.81,56.8,87.7,1.748,239.7,329.8,False
7.46,0.49,18.8,7.3,0.033,18.9,26.2,True
6.92,0.22,16.0,14.7,0.011,36.8,37.2,True
7.44,0.56,21.3,5.8,0.023,30.4,56.4,True
6.96,0.84,11.6,18.4,0.005,42.4,20.1,True
7.33,0.64,16.6,24.7,0.031,37.2,54.3,True
5.71,2.69,59.8,89.5,1.335,184.5,273.7,False
9.22,3.8,46.3,87.7,1.727,234.0,243.0,False
8.76,4.21,50.2,82.3,1.052,160.0,198.7,False
9.41,3.36,48.9,60.1,1.258,144.9,217.7,False
7.25,0.75,13.9,19.3,0.01,20.2,21.5,True
7.13,0.63,14.9,9.0,0.039,27.9,48.0,True
6.76,0.36,19.6,16.3,0.005,25.0,33.4,True
7.02,0.22,14.0,15.7,0.037,39.6,20.7,True
5.02,2.9,58.1,63.1,0.863,167.0,352.7,False
5.76,3.5,63.5,86.1,1.814,268.2,388.1,False
7.55,0.69,19.2,13.8,0.03,23.5,24.5,True
9.22,4.0,40.8,52.0,1.81,152.1,241.8,False
6.76,0.56,11.9,18.4,0.031,13.9,36.1,True
7.23,0.29,11.8,20.9,0.036,19.9,34.7,True
5.67,2.21,48.0,70.1,1.456,187.4,339.2,False
8.73,3.26,61.7,53.8,1.983,291.9,206.4,False
7.36,0.7,10.1,13.8,0.035,27.1,29.0,True
4.72,3.02,59.8,50.9,0.866,164.4,370.4,False
9.3,2.5,46.3,76.9,1.674,224.9,313.9,False
7.16,0.22,13.8,21.4,0.024,25.8,27.8,True
6.6,0.64,19.5,7.7,0.023,37.3,26.7,True
6.85,0.37,21.9,8.9,0.025,42.4,21.6,True
7.25,0.85,17.7,13.3,0.038,37.5,24.0,True
4.71,2.32,39.7,81.6,1.038,158.9,399.3,False
9.37,2.68,53.0,53.6,0.587,199.6,341.3,False
6.54,0.43,20.9,6.9,0.026,25.8,57.2,True
6.68,0.84,15.6,16.4,0.037,28.6,30.9,True
8.79,3.75,44.7,53.2,1.375,291.7,291.9,False
6.52,0.22,18.4,10.6,0.025,17.1,27.2,True
7.45,0.29,17.3,19.1,0.021,18.5,54.5,True
6.89,0.39,16.4,17.1,0.022,24.3,24.5,True
6.55,0.21,11.4,18.0,0.025,29.4,16.4,True
7.17,0.37,12.2,6.3,0.032,25.0,43.2,True
7.32,0.88,14.0,7.4,0.025,41.7,50.3,True
7.48,0.27,20.1,23.6,0.016,42.4,50.7,True
7.79,0.7,12.0,24.1,0.028,12.1,44.6,True
8.93,2.66,42.3,66.6,0.849,218.6,373.2,False
7.28,0.24,19.3,12.7,0.017,25.7,30.6,True
7.31,0.4,21.6,17.2,0.019,32.6,32.8,True
6.87,0.55,15.5,11.9,0.029,36.6,53.4,True
4.67,4.29,44.8,69.9,1.938,257.6,347.0,False
6.93,0.51,17.8,14.9,0.027,29.0,48.3,True
7.02,0.6,17.0,20.0,0.023,13.7,53.6,True
4.68,3.57,54.2,69.8,0.527,193.6,228.6,False
7.14,0.61,17.4,13.1,0.016,33.9,53.1,True
7.05,0.66,13.1,6.4,0.019,26.2,26.5,True
6.84,0.25,14.4,21.7,0.016,35.5,19.2,True
6.75,0.32,19.3,9.6,0.023,25.8,41.1,True
7.47,0.76,12.4,24.2,0.023,42.1,46.8,True
7.25,0.82,18.4,9.0,0.02,27.3,17.5,True
7.31,0.76,13.4,16.1,0.03,14.7,51.6,True
7.61,0.26,20.0,12.2,0.026,15.4,18.0,True
8.65,4.19,46.1,58.4,1.663,209.3,230.3,False
8.52,2.41,56.7,55.6,1.084,205.8,223.3,False
7.21,0.3,20.4,18.5,0.04,13.2,25.8,True
6.66,0.86,15.5,11.2,0.022,37.0,22.6,True
6.7,0.51,16.1,12.6,0.02,26.5,49.6,True
5.07,3.05,54.4,51.4,1.833,242.7,325.1,False
9.74,2.78,44.7,83.4,1.643,192.7,302.1,False
7.59,0.43,15.9,23.8,0.013,23.6,42.3,True
7.32,0.33,16.1,15.6,0.036,26.2,27.6,True
6.69,0.26,16.8,7.3,0.01,20.5,27.7,True
6.59,0.28,16.1,14.3,0.038,43.1,50.1,True
8.57,3.87,40.6,88.6,1.106,244.6,194.0,False
6.91,0.62,15.2,24.6,0.017,31.5,29.0,True
7.08,0.69,11.0,16.9,0.026,33.9,31.6,True
4.81,3.1,43.4,87.3,1.525,182.0,325.5,False
