pH,Azot_ppm,Fosfor_ppm,Potasyum_ppm,OrganikMadde,Tuzluluk,ToprakTuru,UrunTipi
7.4,69.3,35.0,198.7,2.31,0.12,Tinli,Nar
5.98,67.3,35.2,280.0,2.35,0.22,KumluTinli,YemSalgamı
7.7,44.5,33.3,228.0,1.69,0.39,MilliTinli,Yulaf
5.71,58.3,25.5,230.0,3.77,0.2,KilliTinli,Cay
7.62,71.2,36.2,266.3,2.89,0.25,Tinli,YerFistigi
7.8,54.0,26.2,230.6,1.41,0.55,MilliTinli,Arpa
7.28,65.2,39.9,240.3,3.15,0.25,Tinli,Uzum
7.82,55.5,42.7,266.3,2.44,0.45,Killi,Soya
6.87,108.8,50.5,285.2,4.09,0.21,MilliTinli,Turp
7.11,53.9,31.6,258.0,2.1,0.38,KumluTinli,Kayisi
6.89,53.9,43.4,184.7,2.84,0.39,KumluTinli,Lavanta
7.08,71.6,22.3,239.3,2.12,0.26,Tinli,Zeytin
6.98,70.7,40.6,269.3,3.36,0.17,Tinli,Portakal
5.96,50.6,29.0,211.2,2.91,0.11,Tinli,Portakal
7.22,48.1,33.9,228.0,1.47,0.71,Killi,Misir
6.54,105.5,43.9,313.3,3.9,0.42,MilliTinli,Sarımsak
6.23,60.1,37.3,184.7,3.6,0.29,KilliTinli,Visne
7.21,69.0,33.9,277.9,2.72,0.55,Killi,Soya
7.14,68.7,33.4,237.2,3.68,0.16,KumluTinli,Uzum
6.26,77.1,38.0,185.8,3.56,0.35,Tinli,MeyanKoku
6.18,75.6,42.5,344.2,2.57,0.33,MilliTinli,Kavun
7.36,62.6,37.4,290.7,3.41,0.15,KilliTinli,Armut
6.34,76.6,29.1,249.7,3.26,0.1,Tinli,Nar
6.79,56.3,20.6,198.7,3.43,0.3,Tinli,SiloMisiri
7.58,35.4,30.5,189.0,2.15,0.5,Killi,Burçak
6.3,91.7,49.8,320.3,4.18,0.26,MilliTinli,Turp
6.88,57.4,26.2,278.3,3.6,0.31,KumluTinli,Greyfurt
7.39,59.0,41.6,281.3,2.64,0.35,Tinli,Mandalina
6.62,35.1,25.5,218.6,1.2,0.72,Killi,Bezelye
7.44,75.4,43.2,299.4,2.35,0.22,KumluTinli,Kivi
