Azot,Fosfor,Potasyum,pH,OrganikMadde,Tuzluluk,ToprakTuru,UrunTipi,Yagis_Miktar_mm,Sicaklik_Ort,SulamaYapildiMi,Gubreleme_TamMi,Gecmis_Verim_kg
69.3,35.0,198.7,7.4,2.31,0.12,Tinli,Nar,740.4,17.7,0,1,3160
67.3,35.2,280.0,5.98,2.35,0.22,KumluTinli,YemSalgamı,765.0,14.5,1,1,3416
44.5,33.3,228.0,7.7,1.69,0.39,MilliTinli,Yulaf,377.7,11.3,1,1,649
58.3,25.5,230.0,5.71,3.77,0.2,KilliTinli,Cay,858.4,14.5,0,1,3759
71.2,36.2,266.3,7.62,2.89,0.25,Tinli,YerFistigi,472.6,20.4,1,1,5651
54.0,26.2,230.6,7.8,1.41,0.55,MilliTinli,Arpa,481.5,13.6,1,1,632
65.2,39.9,240.3,7.28,3.15,0.25,Tinli,Uzum,592.1,16.0,1,1,3429
55.5,42.7,266.3,7.82,2.44,0.45,Killi,Soya,660.1,21.3,1,1,5348
108.8,50.5,285.2,6.87,4.09,0.21,MilliTinli,Turp,269.6,18.2,1,1,2156
53.9,31.6,258.0,7.11,2.1,0.38,KumluTinli,Kayisi,604.4,12.1,1,1,3396
53.9,43.4,184.7,6.89,2.84,0.39,KumluTinli,Lavanta,669.4,16.5,1,1,3382
71.6,22.3,239.3,7.08,2.12,0.26,Tinli,Zeytin,794.8,16.4,1,1,3397
70.7,40.6,269.3,6.98,3.36,0.17,Tinli,Portakal,649.9,14.3,1,1,3735
50.6,29.0,211.2,5.96,2.91,0.11,Tinli,Portakal,623.8,18.5,1,1,3644
48.1,33.9,228.0,7.22,1.47,0.71,Killi,Misir,362.9,11.1,0,1,289
105.5,43.9,313.3,6.54,3.9,0.42,MilliTinli,Sarımsak,481.6,21.9,1,1,2127
60.1,37.3,184.7,6.23,3.6,0.29,KilliTinli,Visne,704.7,13.3,1,0,3190
69.0,33.9,277.9,7.21,2.72,0.55,Killi,Soya,576.1,20.0,1,1,5357
68.7,33.4,237.2,7.14,3.68,0.16,KumluTinli,Uzum,629.5,15.4,1,1,3610
77.1,38.0,185.8,6.26,3.56,0.35,Tinli,MeyanKoku,580.7,13.3,0,1,3431
75.6,42.5,344.2,6.18,2.57,0.33,MilliTinli,Kavun,373.5,24.0,1,1,5258
62.6,37.4,290.7,7.36,3.41,0.15,KilliTinli,Armut,742.7,15.4,1,1,3330
76.6,29.1,249.7,6.34,3.26,0.1,Tinli,Nar,706.1,19.8,1,1,3347
56.3,20.6,198.7,6.79,3.43,0.3,Tinli,SiloMisiri,720.7,14.0,0,1,3520
35.4,30.5,189.0,7.58,2.15,0.5,Killi,Burçak,490.9,10.6,1,1,652
91.7,49.8,320.3,6.3,4.18,0.26,MilliTinli,Turp,379.7,18.4,1,1,2218
57.4,26.2,278.3,6.88,3.6,0.31,KumluTinli,Greyfurt,502.1,12.8,1,1,3528
59.0,41.6,281.3,7.39,2.64,0.35,Tinli,Mandalina,760.1,14.9,1,1,3288
35.1,25.5,218.6,6.62,1.2,0.72,Killi,Bezelye,513.2,12.9,0,1,289
75.4,43.2,299.4,7.44,2.35,0.22,KumluTinli,Kivi,696.5,20.0,1,1,3471
66.5,33.6,283.7,6.64,3.47,0.26,Tinli,Portakal,562.9,13.3,1,1,3602
78.5,28.5,255.9,6.58,3.86,0.13,KumluTinli,Biberiye,878.9,13.3,1,1,3399
108.2,35.9,342.4,7.04,4.32,0.44,MilliTinli,Hiyar,440.0,21.5,1,1,6004
39.7,16.3,206.6,6.76,1.5,1.02,MilliTinli,Fasulye,546.1,10.6,0,1,298
65.5,37.7,183.8,5.71,3.87,0.12,Tinli,Ayva,783.6,19.0,1,1,3407
94.0,37.2,244.3,6.24,1.76,0.29,MilliTinli,Karpuz,490.2,21.3,1,1,5237
84.6,42.4,361.9,7.03,3.39,0.31,KumluTinli,TazeSogan,415.7,18.8,1,1,1942
61.6,20.9,298.4,6.62,2.25,0.17,KumluTinli,Papatya,515.7,13.0,1,1,3071
108.9,46.2,242.5,6.79,2.99,0.43,TinliKumlu,Maydanoz,392.7,18.2,1,1,2063
